,,"Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI"
"Countries, territories and areas","Year","Both sexes","Male","Female"
"Afghanistan","2016","72.4 [65.8-78.9]","82 [74.6-89.4]","31 [28.2-33.8]"
"Albania","2016","31.7 [30.2-33.1]","41.7 [39.8-43.6]","15 [14.3-15.7]"
"Algeria","2016","63 [59.7-66.2]","74.6 [70.8-78.5]","26.9 [25.5-28.2]"
"Andorra","2016","32.7 [31.7-33.7]","45.6 [44.2-47]","15.9 [15.4-16.4]"
"Angola","2016","29 [27.9-30]","37.5 [36.1-38.9]","14.2 [13.7-14.7]"
"Antigua and Barbuda","2016","30.7 [29.5-31.9]","41 [39.4-42.6]","14.7 [14.1-15.3]"
"Argentina","2016","31.5 [30.5-32.5]","43.4 [42.1-44.7]","15.5 [15-16]"
"Armenia","2016","46 [44-48]","59.2 [56.6-61.7]","20.9 [20-21.8]"
"Australia","2016","28.9 [28.2-29.7]","40.7 [39.7-41.8]","14.4 [14-14.7]"
"Austria","2016","32.2 [31.5-33]","45.7 [44.7-46.7]","15.9 [15.5-16.3]"
"Azerbaijan","2016","8.1 [7.7-8.4]","10 [9.5-10.4]","3.6 [3.4-3.7]"
"Bahamas","2016","21.9 [20.5-23.3]","28.5 [26.6-30.3]","10.1 [9.5-10.8]"
"Bahrain","2016","47.9 [46.6-49.2]","53 [51.6-54.5]","18.8 [18.3-19.3]"
"Bangladesh","2016","2.1 [1.9-2.2]","2.4 [2.2-2.6]","0.9 [0.8-0.9]"
"Barbados","2016","41.1 [39.7-42.4]","55.1 [53.3-56.9]","19.3 [18.7-20]"
"Belarus","2016","32.8 [31.9-33.8]","49.4 [47.9-50.9]","17.1 [16.6-17.6]"
"Belgium","2016","34.3 [33.4-35.1]","48.4 [47.1-49.6]","16.8 [16.4-17.3]"
"Belize","2016","35.1 [33.8-36.5]","45 [43.2-46.7]","16.6 [15.9-17.2]"
"Benin","2016","25.1 [23.6-26.5]","30.8 [29-32.6]","11.5 [10.9-12.2]"
"Bhutan","2016","4.2 [3.9-4.4]","5 [4.7-5.3]","1.8 [1.7-1.9]"
"Bolivia (Plurinational State of)","2016","22.6 [21.7-23.5]","29.1 [28-30.3]","10.7 [10.3-11.1]"
"Bosnia and Herzegovina","2016","29 [27.8-30.2]","37.9 [36.3-39.4]","13.1 [12.6-13.7]"
"Botswana","2016","56.6 [54.2-58.9]","70.7 [67.8-73.5]","25.9 [24.9-27]"
"Brazil","2016","41.7 [40.3-43]","53.7 [52-55.4]","19.2 [18.6-19.8]"
"Brunei Darussalam","2016","2.8 [2.6-2.9]","3.8 [3.5-4]","1.4 [1.3-1.4]"
"Bulgaria","2016","41.5 [40.4-42.7]","57.5 [55.9-59.1]","19.8 [19.3-20.4]"
"Burkina Faso","2016","47.9 [45.4-50.3]","59.8 [56.8-62.9]","22.6 [21.5-23.8]"
"Burundi","2016","51.2 [48.4-54]","64.2 [60.7-67.7]","24.1 [22.8-25.4]"
"Cabo Verde","2016","36.7 [35.1-38.2]","46.1 [44.2-48]","17 [16.3-17.7]"
"Cambodia","2016","47 [44.3-49.6]","59.3 [55.9-62.7]","21.9 [20.7-23.2]"
"Cameroon","2016","48.8 [46.8-50.8]","61 [58.5-63.5]","22.9 [22-23.8]"
"Canada","2016","29.9 [29.1-30.8]","40.8 [39.7-41.9]","14.3 [13.9-14.7]"
"Central African Republic","2016","19 [17.9-20.1]","24.1 [22.7-25.5]","9 [8.5-9.5]"
"Chad","2016","14.9 [14-15.9]","18.3 [17.1-19.4]","7 [6.5-7.4]"
"Chile","2016","29.6 [28.6-30.5]","40.6 [39.4-41.9]","14.4 [13.9-14.8]"
"China","2016","27.9 [26.9-28.8]","36.8 [35.5-38.1]","12.9 [12.4-13.3]"
"Colombia","2016","32.9 [31.6-34.1]","42.1 [40.5-43.7]","15.1 [14.5-15.7]"
"Comoros","2016","48.3 [44.1-52.5]","56.8 [51.9-61.7]","21.2 [19.3-23]"
"Congo","2016","32.7 [31.1-34.3]","42.6 [40.5-44.7]","15.8 [15-16.6]"
"Cook Islands","2016","45.1 [44-46.1]","58.7 [57.3-60.1]","21.7 [21.2-22.2]"
"Costa Rica","2016","28.1 [27-29.2]","35.6 [34.2-37]","12.7 [12.2-13.2]"
"Côte d'Ivoire","2016","46.9 [44.4-49.4]","57.9 [54.9-61]","21.7 [20.6-22.9]"
"Croatia","2016","32.4 [31.1-33.6]","44.2 [42.5-45.8]","15.3 [14.7-15.9]"
"Cuba","2016","28.5 [27.4-29.6]","36.9 [35.5-38.4]","12.9 [12.4-13.4]"
"Cyprus","2016","33.8 [32.7-35]","45.8 [44.2-47.4]","16.1 [15.6-16.7]"
"Czechia","2016","41.3 [40.1-42.4]","58.2 [56.6-59.9]","20.1 [19.5-20.6]"
"Democratic People's Republic of Korea","2016","20.7 [20.1-21.4]","26.9 [26.1-27.7]","9.5 [9.2-9.8]"
"Democratic Republic of the Congo","2016","15.3 [14.4-16.1]","19.2 [18.1-20.3]","7.2 [6.8-7.7]"
"Denmark","2016","30.1 [29.3-31]","42.1 [40.8-43.3]","14.8 [14.3-15.2]"
"Djibouti","2016","5.8 [5.6-6.1]","7.1 [6.8-7.4]","2.6 [2.5-2.7]"
"Dominica","2016","39 [37.5-40.5]","50.4 [48.4-52.4]","18.1 [17.4-18.8]"
"Dominican Republic","2016","34.5 [33.3-35.7]","44.4 [42.9-46]","16.2 [15.6-16.7]"
"Ecuador","2016","20.6 [19.8-21.4]","26.6 [25.6-27.7]","9.7 [9.3-10]"
"Egypt","2016","31 [28.9-33.1]","36.7 [34.1-39.2]","13.3 [12.4-14.2]"
"El Salvador","2016","27.6 [26.4-28.8]","35.5 [34-37.1]","13.1 [12.5-13.6]"
"Equatorial Guinea","2016","33.5 [32.5-34.5]","45.1 [43.8-46.4]","16.6 [16.1-17.1]"
"Eritrea","2016","13.5 [12.7-14.4]","16.5 [15.5-17.6]","6.2 [5.8-6.6]"
"Estonia","2016","34.4 [33.1-35.6]","49.4 [47.6-51.2]","17 [16.4-17.6]"
"Eswatini","2016","74.3 [71.2-77.4]","92.3 [88.5-96.2]","34.9 [33.5-36.4]"
"Ethiopia","2016","27.3 [25.7-28.9]","33.4 [31.5-35.4]","12.6 [11.9-13.4]"
"Fiji","2016","36.5 [34.8-38.3]","44.3 [42.1-46.4]","15.9 [15.2-16.7]"
"Finland","2016","31.9 [30.8-32.9]","44.5 [43-46]","15.5 [15-16]"
"France","2016","36.1 [35-37.2]","51.1 [49.6-52.6]","17.9 [17.3-18.4]"
"Gabon","2016","37.2 [36-38.4]","49.8 [48.2-51.5]","18.4 [17.8-19]"
"Gambia","2016","30.4 [29.2-31.6]","37.7 [36.2-39.1]","14.3 [13.7-14.8]"
"Georgia","2016","60.4 [58.1-62.7]","78 [75-81]","27.4 [26.3-28.4]"
"Germany","2016","36.5 [35.5-37.4]","51.9 [50.5-53.3]","18 [17.5-18.4]"
"Ghana","2016","22.1 [20.9-23.2]","27.3 [25.9-28.8]","10.2 [9.6-10.7]"
"Greece","2016","34.5 [32.7-36.2]","47.5 [45-50]","16.5 [15.6-17.3]"
"Grenada","2016","40.4 [39-41.7]","52.4 [50.7-54.2]","19 [18.4-19.6]"
"Guatemala","2016","19.4 [18.5-20.3]","24.3 [23.2-25.5]","9.1 [8.7-9.5]"
"Guinea","2016","12.5 [11.6-13.4]","15.3 [14.2-16.4]","5.7 [5.3-6.1]"
"Guinea-Bissau","2016","35.6 [33.8-37.4]","44.1 [41.8-46.4]","16.4 [15.6-17.3]"
"Guyana","2016","34.7 [33.5-35.9]","43.9 [42.4-45.4]","16 [15.5-16.6]"
"Haiti","2016","35.6 [34.9-36.3]","45.1 [44.2-46]","16.7 [16.4-17]"
